LEGENDA: [N->BUY/SELL] Fusion ajustado ficou neutro, IA indicou direcao; [BUY/SELL->N] Fusion ajustado direcional, IA neutra; [BUY->SELL]/[SELL->BUY] direcao oposta.

ATIVO                         | M5                         | M15                        | M30                        | H1                         | H4                         | D1
EURHUF [SIGNAL_INVERSION_NEW] x | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (sell) [SELL->BUY]      | BUY (sell) [SELL->BUY]
EURJPY [SIGNAL_INVERSION_NEW] x | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (buy) [BUY->SELL]      | SELL (buy) [BUY->SELL]      | NEUTRO (neutro)             | NEUTRO (neutro)
EURMXN [SIGNAL_INVERSION] *   | SELL (neutro) [N->SELL]     | SELL (sell)                 | SELL (sell)                 | SELL (sell)                 | SELL (buy) [BUY->SELL]      | SELL (neutro) [N->SELL]
EURNOK [SIGNAL_INVERSION] *   | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (sell)                 | SELL (sell)                 | NEUTRO (sell) [SELL->N]     | BUY (buy)
EURNZD [SIGNAL_INVERSION] *   | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (buy) [BUY->SELL]      | SELL (sell)                 | SELL (neutro) [N->SELL]
EURPLN *                      | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | BUY (sell) [SELL->BUY]      | NEUTRO (neutro)
EURSEK [SIGNAL_INVERSION] *   | SELL (neutro) [N->SELL]     | SELL (sell)                 | SELL (sell)                 | SELL (sell)                 | BUY (sell) [SELL->BUY]      | NEUTRO (neutro)
EURUSD *                      | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (buy)                   | BUY (buy)                   | SELL (sell)                 | SELL (neutro) [N->SELL]
GBPAUD [SIGNAL_INVERSION] *   | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (buy) [BUY->SELL]      | SELL (buy) [BUY->SELL]      | SELL (neutro) [N->SELL]
GBPCAD [SIGNAL_INVERSION_NEW] x | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (buy) [BUY->SELL]      | NEUTRO (neutro)             | NEUTRO (neutro)
GBPCHF [SIGNAL_INVERSION] *   | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (sell)                 | BUY (neutro) [N->BUY]       | BUY (buy)                   | NEUTRO (neutro)
GBPJPY [SIGNAL_INVERSION] *   | BUY (neutro) [N->BUY]       | BUY (buy)                   | BUY (buy)                   | BUY (buy)                   | BUY (buy)                   | BUY (neutro) [N->BUY]
GBPNZD [SIGNAL_INVERSION_NEW] x | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (sell) [SELL->BUY]      | BUY (sell) [SELL->BUY]      | BUY (sell) [SELL->BUY]      | BUY (neutro) [N->BUY]
GBPUSD *                      | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (sell) [SELL->BUY]      | SELL (sell)                 | NEUTRO (neutro)
GOLD [SIGNAL_INVERSION] *     | BUY (neutro) [N->BUY]       | BUY (sell) [SELL->BUY]      | BUY (sell) [SELL->BUY]      | NEUTRO (buy) [BUY->N]       | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]
NZDCAD [SIGNAL_INVERSION] *   | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (sell) [SELL->BUY]      | BUY (buy)                   | BUY (sell) [SELL->BUY]      | BUY (neutro) [N->BUY]
NZDCHF [SIGNAL_INVERSION] *   | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (buy)                   | BUY (neutro) [N->BUY]
NZDJPY [SIGNAL_INVERSION] *   | BUY (neutro) [N->BUY]       | BUY (buy)                   | BUY (neutro) [N->BUY]       | BUY (buy)                   | BUY (buy)                   | BUY (neutro) [N->BUY]
NZDSGD [SIGNAL_INVERSION] *   | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (sell) [SELL->BUY]      | BUY (buy)                   | BUY (buy)                   | BUY (neutro) [N->BUY]
NZDUSD [SIGNAL_INVERSION] *   | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (sell) [SELL->BUY]      | BUY (buy)                   | BUY (neutro) [N->BUY]
USDCAD [REMOVE_INVERSION] x   | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (sell) [SELL->BUY]      | BUY (neutro) [N->BUY]
USDCHF [SIGNAL_INVERSION_NEW] x | BUY (neutro) [N->BUY]       | BUY (sell) [SELL->BUY]      | BUY (sell) [SELL->BUY]      | BUY (sell) [SELL->BUY]      | NEUTRO (neutro)             | NEUTRO (neutro)
USDJPY [SIGNAL_INVERSION] *   | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (buy)                   | BUY (buy)                   | BUY (neutro) [N->BUY]
