path,symbol,timeframe,extension,bytes,folder_symbol,symbol_matches_folder
BACKUP\OMNIS_Copia\data\historical\eurchf\EURCHF_H1.csv,EURCHF,H1,.csv,974260,EURCHF,True
BACKUP\OMNIS_Copia\data\historical\eurchf\EURCHF_H4.csv,EURCHF,H4,.csv,437030,EURCHF,True
BACKUP\OMNIS_Copia\data\historical\eurchf\EURCHF_M15.csv,EURCHF,M15,.csv,3097146,EURCHF,True
BACKUP\OMNIS_Copia\data\historical\eurchf\EURCHF_M30.csv,EURCHF,M30,.csv,1686413,EURCHF,True
BACKUP\OMNIS_Copia\data\historical\eurchf\EURCHF_M5.csv,EURCHF,M5,.csv,6190709,EURCHF,True
BACKUP\OMNIS_Copia\data\historical\eurgbp\EURGBP_H1.csv,EURGBP,H1,.csv,974766,EURGBP,True
BACKUP\OMNIS_Copia\data\historical\eurgbp\EURGBP_H4.csv,EURGBP,H4,.csv,438362,EURGBP,True
BACKUP\OMNIS_Copia\data\historical\eurgbp\EURGBP_M15.csv,EURGBP,M15,.csv,3093188,EURGBP,True
BACKUP\OMNIS_Copia\data\historical\eurgbp\EURGBP_M30.csv,EURGBP,M30,.csv,1684406,EURGBP,True
BACKUP\OMNIS_Copia\data\historical\eurgbp\EURGBP_M5.csv,EURGBP,M5,.csv,6179900,EURGBP,True
BACKUP\OMNIS_Copia\data\historical\eurjpy\EURJPY_H1.csv,EURJPY,H1,.csv,2113690,EURJPY,True
BACKUP\OMNIS_Copia\data\historical\eurjpy\EURJPY_H4.csv,EURJPY,H4,.csv,1576363,EURJPY,True
BACKUP\OMNIS_Copia\data\historical\eurjpy\EURJPY_M15.csv,EURJPY,M15,.csv,4253332,EURJPY,True
BACKUP\OMNIS_Copia\data\historical\eurjpy\EURJPY_M30.csv,EURJPY,M30,.csv,2828248,EURJPY,True
BACKUP\OMNIS_Copia\data\historical\eurjpy\EURJPY_M5.csv,EURJPY,M5,.csv,6210312,EURJPY,True
BACKUP\OMNIS_Copia\data\historical\eurusd\EURUSD_H1.csv,EURUSD,H1,.csv,6331610,EURUSD,True
BACKUP\OMNIS_Copia\data\historical\eurusd\EURUSD_H4.csv,EURUSD,H4,.csv,2986034,EURUSD,True
BACKUP\OMNIS_Copia\data\historical\eurusd\EURUSD_M15.csv,EURUSD,M15,.csv,6164579,EURUSD,True
BACKUP\OMNIS_Copia\data\historical\eurusd\EURUSD_M30.csv,EURUSD,M30,.csv,6176712,EURUSD,True
BACKUP\OMNIS_Copia\data\historical\eurusd\EURUSD_M5.csv,EURUSD,M5,.csv,6203808,EURUSD,True
BACKUP\OMNIS_Copia\data\historical\gbpjpy\GBPJPY_H1.csv,GBPJPY,H1,.csv,981055,GBPJPY,True
BACKUP\OMNIS_Copia\data\historical\gbpjpy\GBPJPY_H4.csv,GBPJPY,H4,.csv,441993,GBPJPY,True
BACKUP\OMNIS_Copia\data\historical\gbpjpy\GBPJPY_M15.csv,GBPJPY,M15,.csv,3127753,GBPJPY,True
BACKUP\OMNIS_Copia\data\historical\gbpjpy\GBPJPY_M30.csv,GBPJPY,M30,.csv,1697126,GBPJPY,True
BACKUP\OMNIS_Copia\data\historical\gbpjpy\GBPJPY_M5.csv,GBPJPY,M5,.csv,6164239,GBPJPY,True
BACKUP\OMNIS_Copia\data\historical\gbpusd\GBPUSD_H1.csv,GBPUSD,H1,.csv,971273,GBPUSD,True
BACKUP\OMNIS_Copia\data\historical\gbpusd\GBPUSD_H4.csv,GBPUSD,H4,.csv,438655,GBPUSD,True
BACKUP\OMNIS_Copia\data\historical\gbpusd\GBPUSD_M15.csv,GBPUSD,M15,.csv,3084913,GBPUSD,True
BACKUP\OMNIS_Copia\data\historical\gbpusd\GBPUSD_M30.csv,GBPUSD,M30,.csv,1680147,GBPUSD,True
BACKUP\OMNIS_Copia\data\historical\gbpusd\GBPUSD_M5.csv,GBPUSD,M5,.csv,6185795,GBPUSD,True
BACKUP\OMNIS_Copia\data\historical\gold\GOLD_H1.csv,GOLD,H1,.csv,923667,GOLD,True
BACKUP\OMNIS_Copia\data\historical\gold\GOLD_H4.csv,GOLD,H4,.csv,417325,GOLD,True
BACKUP\OMNIS_Copia\data\historical\gold\GOLD_M15.csv,GOLD,M15,.csv,2961738,GOLD,True
BACKUP\OMNIS_Copia\data\historical\gold\GOLD_M30.csv,GOLD,M30,.csv,1603864,GOLD,True
BACKUP\OMNIS_Copia\data\historical\gold\GOLD_M5.csv,GOLD,M5,.csv,6226709,GOLD,True
BACKUP\OMNIS_Copia\data\historical\nzdusd\NZDUSD_H1.csv,NZDUSD,H1,.csv,972518,NZDUSD,True
BACKUP\OMNIS_Copia\data\historical\nzdusd\NZDUSD_H4.csv,NZDUSD,H4,.csv,436806,NZDUSD,True
BACKUP\OMNIS_Copia\data\historical\nzdusd\NZDUSD_M15.csv,NZDUSD,M15,.csv,3085915,NZDUSD,True
BACKUP\OMNIS_Copia\data\historical\nzdusd\NZDUSD_M30.csv,NZDUSD,M30,.csv,1679675,NZDUSD,True
BACKUP\OMNIS_Copia\data\historical\nzdusd\NZDUSD_M5.csv,NZDUSD,M5,.csv,6176282,NZDUSD,True
BACKUP\OMNIS_Copia\data\historical\usdcad\USDCAD_H1.csv,USDCAD,H1,.csv,970053,USDCAD,True
BACKUP\OMNIS_Copia\data\historical\usdcad\USDCAD_H4.csv,USDCAD,H4,.csv,437088,USDCAD,True
BACKUP\OMNIS_Copia\data\historical\usdcad\USDCAD_M15.csv,USDCAD,M15,.csv,3077257,USDCAD,True
BACKUP\OMNIS_Copia\data\historical\usdcad\USDCAD_M30.csv,USDCAD,M30,.csv,1676850,USDCAD,True
BACKUP\OMNIS_Copia\data\historical\usdcad\USDCAD_M5.csv,USDCAD,M5,.csv,6180702,USDCAD,True
BACKUP\OMNIS_Copia\data\historical\usdchf\USDCHF_H1.csv,USDCHF,H1,.csv,969512,USDCHF,True
BACKUP\OMNIS_Copia\data\historical\usdchf\USDCHF_H4.csv,USDCHF,H4,.csv,436403,USDCHF,True
BACKUP\OMNIS_Copia\data\historical\usdchf\USDCHF_M15.csv,USDCHF,M15,.csv,3074874,USDCHF,True
BACKUP\OMNIS_Copia\data\historical\usdchf\USDCHF_M30.csv,USDCHF,M30,.csv,1674898,USDCHF,True
BACKUP\OMNIS_Copia\data\historical\usdchf\USDCHF_M5.csv,USDCHF,M5,.csv,6178040,USDCHF,True
BACKUP\OMNIS_Copia\data\historical\usdjpy\USDJPY_H1.csv,USDJPY,H1,.csv,965688,USDJPY,True
BACKUP\OMNIS_Copia\data\historical\usdjpy\USDJPY_H4.csv,USDJPY,H4,.csv,433604,USDJPY,True
BACKUP\OMNIS_Copia\data\historical\usdjpy\USDJPY_M15.csv,USDJPY,M15,.csv,3082366,USDJPY,True
BACKUP\OMNIS_Copia\data\historical\usdjpy\USDJPY_M30.csv,USDJPY,M30,.csv,1674508,USDJPY,True
BACKUP\OMNIS_Copia\data\historical\usdjpy\USDJPY_M5.csv,USDJPY,M5,.csv,6175527,USDJPY,True
